"id","address","city","beds","baths","price","status","square_feet","acres","year_built","days_on_market","property_type","hoa_per_month","url"
1,"Tbd Lake Lndg","Abingdon",0.0,0.0,299000,"Active",0,1.58,0,46,"Land",29,"https://www.redfin.com/VA/Unknown/Tbd-Lake-Lndg-24211/home/185413800"
2,"000 James St","Bluefield",0.0,0.0,31500,"Active",0,1.36,0,41,"Land",0,"https://www.redfin.com/VA/Bluefield/James-St-24605/home/188951533"
3,"Tbd Bridgeview Dr","Abingdon",0.0,0.0,70000,"Active",0,0.5,0,354,"Land",0,"https://www.redfin.com/VA/Unknown/Tbd-Bridgeview-Dr-24211/home/190996715"
4,"0 Tyler St","Abbs Valley",0.0,0.0,25000,"Active",0,0.0,0,41,"Land",0,"https://www.redfin.com/VA/Abbs-Valley/Tyler-St-24605/home/195316922"
5,"19510 Wynscape Dr","Abingdon",3.0,2.5,470000,"Active",2216,0.45,2006,7,"Single Family",0,"https://www.redfin.com/VA/Abingdon/19510-Wynscape-Dr-24210/home/133101574"
6,"16319 Mary St","Abingdon",4.0,1.5,285000,"Active",2025,0.53,1972,4,"Single Family",0,"https://www.redfin.com/VA/Abingdon/16319-Mary-St-24210/home/133134572"
7,"15497 Porterfield Hwy","Abingdon",3.0,2.5,459900,"Active",2140,1.07,1948,4,"Single Family",0,"https://www.redfin.com/VA/Abingdon/15497-Porterfield-Hwy-24210/home/133033950"
8,"379 Oakland St","Abingdon",3.0,1.0,179900,"Active",967,0.2,1950,5,"Single Family",0,"https://www.redfin.com/VA/Abingdon/379-Oakland-St-SW-24210/home/132926693"
9,"18505 Ironwood Loop","Abingdon",3.0,2.0,267000,"Active",1428,0.5,1989,5,"Single Family",0,"https://www.redfin.com/VA/Abingdon/18505-Ironwood-Loop-24210/home/133012153"
10,"160 Fairway Dr","Abingdon",4.0,4.0,1245000,"Active",4940,9.36,1976,6,"Single Family",0,"https://www.redfin.com/VA/Abingdon/160-Fairway-Dr-24211/home/132912745"
11,"21127 Gardenpath Lane Path","Abingdon",4.0,2.0,699000,"Active",1808,23.0,1978,6,"Single Family",0,"https://www.redfin.com/VA/Abingdon/21127-Garden-Path-Ln-24211/home/132964404"
12,"26468 Watauga Rd","Abingdon",4.0,2.0,345000,"Active",1600,0.97,1969,8,"Single Family",0,"https://www.redfin.com/VA/Abingdon/26468-Watauga-Rd-24211/home/133183689"
13,"1086 Hillview Dr","Abingdon",3.0,2.0,268000,"Active",1225,0.37,1977,47,"Single Family",0,"https://www.redfin.com/VA/Abingdon/1086-Hillview-Dr-24210/home/132912694"
14,"TBD Bridgeview #2","Abingdon",0.0,0.0,70000,"Active",0,0.5,0,354,"Land",0,"https://www.redfin.com/VA/Abingdon/24375-Hillandale-Rd-24210/unit-2/home/190996705"
15,"tbd Lot 89 E Cheyenne Trl","Abingdon",0.0,0.0,39500,"Active",0,0.35,0,364,"Land",0,"https://www.redfin.com/VA/Abingdon/tbd-Cheyenne-Trl-24211/home/190862612"
16,"240 Hallock Dr","Abingdon",3.0,2.5,245900,"Active",1344,0.34,2002,47,"Single Family",0,"https://www.redfin.com/VA/Abingdon/240-Hallock-Dr-24210/home/132993132"
17,"Lot 89 E Cheyenne Trl #89","Abingdon",0.0,0.0,39500,"Active",0,0.35,0,364,"Land",0,"https://www.redfin.com/VA/Abingdon/LOT-89-Cheyenne-Trl-24211/unit-89/home/189042742"
18,"22455 Wyldwood Road Rd","Abingdon",3.0,2.5,828000,"Active",4211,1.75,1997,48,"Single Family",46,"https://www.redfin.com/VA/Abingdon/22455-Wyldwood-Rd-24211/home/133023001"
19,"Tbd Northwoods Trl","Abingdon",0.0,0.0,39900,"Active",0,0.57,0,375,"Land",0,"https://www.redfin.com/VA/Unknown/Tbd-Northwoods-Trl-24210/home/187548073"
20,"Lot 7 Homestead Way","Abingdon",3.0,3.5,849900,"Active",2782,1.17,2025,379,"Single Family",0,"https://www.redfin.com/VA/Abingdon/Lot-7-Homestead-WAY-Unknown/home/190693590"
21,"23324 Denton Valley Rd","Abingdon",3.0,2.0,259900,"Active",1380,0.48,1983,49,"Single Family",0,"https://www.redfin.com/VA/Abingdon/23324-Denton-Valley-Rd-24211/home/133052207"
22,"25538 Cornelius Dr","Abingdon",3.0,3.0,699000,"Active",3396,0.59,1998,395,"Single Family",0,"https://www.redfin.com/VA/Abingdon/25538-Cornelius-Dr-24211/home/133030900"
23,"23300 Wycoff Dr","Abingdon",5.0,4.0,995000,"Active",5418,5.0,1989,49,"Single Family",0,"https://www.redfin.com/VA/Abingdon/23300-Wycoff-Dr-24211/home/133162237"
24,"TBD Village Loop #21","Abingdon",0.0,0.0,25000,"Active",0,0.47,0,396,"Land",0,"https://www.redfin.com/VA/Unknown/TBD-Village-Loop-24210/unit-21/home/189843050"
25,"23476 Golden View Dr","Abingdon",3.0,3.0,349900,"Active",2800,2.38,1970,53,"Single Family",0,"https://www.redfin.com/VA/Abingdon/23476-Golden-View-Dr-24211/home/132946167"
26,"Lot 114 Clifton Ridge Rd #114","Abingdon",0.0,0.0,67500,"Active",0,0.97,0,430,"Land",8,"https://www.redfin.com/VA/Abingdon/Lot-114-Clifton-Ridge-Rd-24211/unit-114/home/184184738"
27,"0 Village Loop #34","Abingdon",0.0,0.0,27500,"Active",0,0.36,0,444,"Land",0,"https://www.redfin.com/VA/Unknown/Village-Loop-24210/unit-34/home/189497188"
28,"20484 Lake Rd","Abingdon",4.0,4.5,2499900,"Active",6442,2.26,1987,11,"Single Family",0,"https://www.redfin.com/VA/Abingdon/20484-Lake-Rd-24211/home/132972889"
29,"625 Locust St","Abingdon",3.0,4.0,734999,"Active",3580,5.3,2004,55,"Single Family",0,"https://www.redfin.com/VA/Abingdon/625-Locust-St-NW-24210/home/132973909"
30,"346 Rodefer St SW","Abingdon",2.0,1.0,229000,"Active",1340,0.14,1944,56,"Single Family",0,"https://www.redfin.com/VA/Abingdon/346-Rodefer-St-SW-24210/home/133046862"
31,"131 NE Hillside Dr","Abingdon",3.0,3.0,549000,"Active",3323,0.54,1979,60,"Single Family",0,"https://www.redfin.com/VA/Abingdon/131-Hillside-Dr-NE-24210/home/133013632"
32,"23304 Back St","Accomac",3.0,3.0,349500,"Active",2615,2.0,1888,34,"Single Family",0,"https://www.redfin.com/VA/Accomac/23304-Back-St-23301/home/68412981"
33,"210 Valley St","Abingdon",4.0,4.0,369500,"Active",2931,0.3,1850,11,"Single Family",0,"https://www.redfin.com/VA/Abingdon/210-Valley-St-NE-24210/home/133132404"
34,"828 Colonial Rd SW","Abingdon",5.0,3.5,419900,"Active",2540,0.5,1934,11,"Single Family",0,"https://www.redfin.com/VA/Abingdon/828-Colonial-Rd-SW-24210/home/133186662"
35,"116 Weeping Willow Dr","Abingdon",3.0,2.5,324900,"Active",1412,0.0,2022,12,"Condo",45,"https://www.redfin.com/VA/Abingdon/116-Weeping-Willow-Dr-24210/home/184185119"
