address,city,beds,baths,price,status,square_feet,acres,year_built,days_on_market,property_type,hoa_per_month,url,price_per_sqft
Tbd Lake Lndg,Abingdon,,,299000,Active,,1.58,,46,Land,29,https://www.redfin.com/VA/Unknown/Tbd-Lake-Lndg-24211/home/185413800,
000 James St,Bluefield,,,31500,Active,,1.36,,41,Land,0,https://www.redfin.com/VA/Bluefield/James-St-24605/home/188951533,
Tbd Bridgeview Dr,Abingdon,,,70000,Active,,0.5,,354,Land,0,https://www.redfin.com/VA/Unknown/Tbd-Bridgeview-Dr-24211/home/190996715,
0 Tyler St,Abbs Valley,,,25000,Active,,,,41,Land,0,https://www.redfin.com/VA/Abbs-Valley/Tyler-St-24605/home/195316922,
19510 Wynscape Dr,Abingdon,3.0,2.5,470000,Active,2216.0,0.45,2006.0,7,Single Family,0,https://www.redfin.com/VA/Abingdon/19510-Wynscape-Dr-24210/home/133101574,212.09386281588448
16319 Mary St,Abingdon,4.0,1.5,285000,Active,2025.0,0.53,1972.0,4,Single Family,0,https://www.redfin.com/VA/Abingdon/16319-Mary-St-24210/home/133134572,140.74074074074073
15497 Porterfield Hwy,Abingdon,3.0,2.5,459900,Active,2140.0,1.07,1948.0,4,Single Family,0,https://www.redfin.com/VA/Abingdon/15497-Porterfield-Hwy-24210/home/133033950,214.90654205607476
379 Oakland St,Abingdon,3.0,1.0,179900,Active,967.0,0.2,1950.0,5,Single Family,0,https://www.redfin.com/VA/Abingdon/379-Oakland-St-SW-24210/home/132926693,186.0392967942089
18505 Ironwood Loop,Abingdon,3.0,2.0,267000,Active,1428.0,0.5,1989.0,5,Single Family,0,https://www.redfin.com/VA/Abingdon/18505-Ironwood-Loop-24210/home/133012153,186.9747899159664
160 Fairway Dr,Abingdon,4.0,4.0,1245000,Active,4940.0,9.36,1976.0,6,Single Family,0,https://www.redfin.com/VA/Abingdon/160-Fairway-Dr-24211/home/132912745,252.0242914979757
21127 Gardenpath Lane Path,Abingdon,4.0,2.0,699000,Active,1808.0,23.0,1978.0,6,Single Family,0,https://www.redfin.com/VA/Abingdon/21127-Garden-Path-Ln-24211/home/132964404,386.61504424778764
