address,price,bed,bath,sq_ft,acres,hoa,garages,pool,land,city_id,city_name
"000 James St, Bluefield, VA 24605","$31,500",N/A,N/A,—,1.36 acre lot,N/A,N/A,False,True,37317,Abbs Valley
"0 Tyler St, Abbs Valley, VA 24605","$25,000",N/A,N/A,—,N/A,N/A,N/A,False,True,37317,Abbs Valley
"TBD Samantha St Unit 020-A-0042, Bluefield, VA 24605","$249,000",N/A,N/A,—,244.27 acre lot,N/A,N/A,False,True,37317,Abbs Valley
"TBD Samantha St, Bluefield, VA 24605","$249,000",N/A,N/A,—,244.27 acre lot,N/A,N/A,False,True,37317,Abbs Valley
"0 Samantha St, Bluefield, VA 24605","$249,000",N/A,N/A,—,244.27 acre lot,N/A,N/A,False,True,37317,Abbs Valley
"16319 Mary St, Abingdon, VA 24210","$285,000",4,1.5,"2,025",0.53 acre lot,N/A,N/A,False,False,22,Abingdon
"15497 Porterfield Hwy, Abingdon, VA 24210","$459,900",3,2.5,"2,140",1.07 acre lot,N/A,2,False,False,22,Abingdon
"16057 Rich Valley Rd, Abingdon, VA 24210","$299,000",3,2,"1,512",20.56 acre lot,N/A,N/A,False,False,22,Abingdon
"379 Oakland St, Abingdon, VA 24210","$179,900",3,1,967,N/A,N/A,N/A,False,False,22,Abingdon
"18505 Ironwood Loop, Abingdon, VA 24210","$267,000",3,2,"1,428",0.5 acre lot,N/A,2,False,False,22,Abingdon
"26145 Watauga Rd, Abingdon, VA 24211","$249,600",3,2.5,"1,645",N/A,N/A,N/A,False,False,22,Abingdon
"160 Fairway Dr, Abingdon, VA 24210","$1,245,000",4,4,"4,940",N/A,N/A,N/A,False,False,22,Abingdon
"21127 Gardenpath Lane Path, Abingdon, VA 24211","$699,000",4,2,"1,808",N/A,N/A,N/A,False,False,22,Abingdon
"19510 Wynscape Dr, Abingdon, VA 24210","$470,000",3,2.5,"2,216",N/A,N/A,N/A,False,False,22,Abingdon
"26468 Watauga Rd, Abingdon, VA 24211","$345,000",4,2,"1,600",N/A,N/A,N/A,False,False,22,Abingdon
"20484 Lake Rd, Abingdon, VA 24211","$2,499,900",4,4.5,"6,442",N/A,N/A,N/A,False,False,22,Abingdon
"210 Valley St, Abingdon, VA 24210","$369,500",4,4,"2,931",N/A,N/A,N/A,False,False,22,Abingdon
"828 Colonial Rd SW, Abingdon, VA 24210","$419,900",5,3.5,"2,540",N/A,N/A,N/A,False,False,22,Abingdon
"116 Weeping Willow Dr, Abingdon, VA 24210","$324,900",3,2.5,"1,412",N/A,N/A,N/A,False,False,22,Abingdon
"116 Weeping Willow Dr #116, Abingdon, VA 24210","$324,900",3,2.5,"1,600",N/A,N/A,N/A,False,False,22,Abingdon
"Homes Available Soon Plan, Abingdon, VA 24210",Unknown,N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"26354 Pewter Ln, Abingdon, VA 24211","$995,000",4,2.5,"3,025",N/A,N/A,N/A,False,False,22,Abingdon
"319 Bogey Dr, Abingdon, VA 24211","$466,000",4,2,"3,448",N/A,N/A,N/A,False,False,22,Abingdon
"0 Astor Road Route 869 #21, Abingdon, VA 24210","$199,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"956 Maiden St, Abingdon, VA 24210","$195,000",2,2,"1,150",N/A,N/A,N/A,False,False,22,Abingdon
"243 Mason Pl, Abingdon, VA 24210","$689,775",3,3,"3,178",N/A,N/A,N/A,False,False,22,Abingdon
"23163 Soho Sunset Ln, Abingdon, VA 24211","$369,000",5,3,"3,824",N/A,N/A,N/A,False,False,22,Abingdon
"21030 Skyward Dr, Abingdon, VA 24211","$750,000",3,2,"2,873",N/A,N/A,N/A,False,False,22,Abingdon
"Homes Available Soon Plan, Abingdon, VA 24210",Unknown,N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"300 Grove Terrace Dr, Abingdon, VA 24210","$349,500",2,1,"1,258",N/A,N/A,N/A,False,False,22,Abingdon
"19032 Woodland Hills Rd, Abingdon, VA 24210","$245,000",3,1.5,"1,520",N/A,N/A,N/A,False,False,22,Abingdon
"15590 Piper Spring Ave, Abingdon, VA 24210","$742,000",3,N/A,"2,250",N/A,N/A,N/A,False,False,22,Abingdon
"846 Glenview Dr, Abingdon, VA 24211","$2,299,000",7,5.5,"8,241",N/A,N/A,N/A,False,False,22,Abingdon
"330 Bogey Dr, Abingdon, VA 24211","$799,979",6,4.5,"3,856",N/A,N/A,N/A,False,False,22,Abingdon
"322 White St NE, Abingdon, VA 24210","$244,900",2,2,"1,274",N/A,N/A,N/A,False,False,22,Abingdon
"313 Tanner St, Abingdon, VA 24210","$297,500",3,1,759,N/A,N/A,N/A,False,False,22,Abingdon
"190 Bogey Dr, Abingdon, VA 24211","$324,900",3,2.5,"1,839",N/A,N/A,N/A,False,False,22,Abingdon
"TBD Green Springs Rd #38, Abingdon, VA 24211","$199,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"18212 Cleveland Rd, Abingdon, VA 24211","$324,500",3,2,"1,690",N/A,N/A,N/A,False,False,22,Abingdon
"20268 Heron Cir, Abingdon, VA 24211","$1,195,000",4,3,"5,242",N/A,N/A,N/A,False,False,22,Abingdon
